cn,species1216,tropwgt1216,cfmtcbm1216,division1216,jqcat1216,jq3cat1216,species1721,tropwgt1721,cfmtcbm1721,division1721,jqcat1721,jq3cat1721,eceeu1721,repunit1721,cfwrme
44010000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
44011000,0,0,1.38,24,110,0,0,0,0,0,0,0,0,0,1.2
44011100,NA,NA,NA,NA,NA,NA,1,0,1.43,24,1100,0,0,2,1.2
44011200,NA,NA,NA,NA,NA,NA,2,0,1.25,24,1100,0,0,2,1.2
44012100,0,0,1.48,24,310,0,0,0,1.48,24,3100,0,0,2,1.2
44012200,0,0,1.48,24,310,0,0,0,1.48,24,3100,0,0,2,1.2
44013100,0,0,1.48,24,410,0,0,0,1.48,24,5100,0,0,1,1.2
44013900,NA,NA,NA,NA,NA,NA,0,0,1.48,24,5200,0,0,1,1.2
44013910,0,0,1.48,24,320,0,NA,NA,NA,NA,NA,NA,NA,NA,1.2
44013920,0,0,1.48,24,420,0,0,0,0,24,0,0,0,0,1.2
44013930,0,0,1.48,24,320,0,0,0,0,24,0,0,0,0,1.2
44013980,0,0,1.48,24,320,0,0,0,0,24,0,0,0,0,1.2
44013990,0,0,1.48,24,420,0,NA,NA,NA,NA,NA,NA,NA,NA,1.2
44014010,NA,NA,NA,NA,NA,NA,0,0,1.48,24,3200,0,0,2,1
44014090,NA,NA,NA,NA,NA,NA,0,0,1.48,24,4000,0,0,2,1
44020000,0,0,0,24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
44021000,0,0,0,24,0,0,0,0,0,0,0,0,0,0,6
44029000,0,0,0,24,200,0,0,0,0,24,2000,0,0,1,6
44030000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
44031000,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1.1
44031100,NA,NA,NA,NA,NA,NA,1,0,1.43,24,1220,0,132,2,1.1
44031200,NA,NA,NA,NA,NA,NA,2,0,1.25,24,1220,0,290,2,1.1
44032011,1,0,1.43,24,121,0,0,0,0,24,0,0,0,0,1
44032019,1,0,1.43,24,122,0,0,0,0,24,0,0,0,0,1
44032031,1,0,1.43,24,121,0,0,0,0,24,0,0,0,0,1
44032039,1,0,1.43,24,122,0,0,0,0,24,0,0,0,0,1
44032091,1,0,1.43,24,121,0,0,0,0,24,0,0,0,0,1
